"term"|"label"
"Record Keeping"|"Bookkeeping"
"Botany"|"Botany "
"Plant Physiology"|"Botany "
"Habitat Restoration"|"Botany "
"Plant Ecology"|"Botany "
"Plant Genetics"|"Botany "
"Ethnobotany"|"Botany "
"Management"|"Business Management"
"Strategic Planning"|"Business Management"
"Strategy"|"Business Management"
"Change Management"|"Business Management"
"Business Planning"|"Business Management"
"Business Process Improvement"|"Business Management"
"Vendor Management"|"Business Management"
"Business Process"|"Business Management"
"Outsourcing"|"Business Management"
"Small Business"|"Business Management"
"Risk Management"|"Capital Markets "
"Portfolio Management"|"Capital Markets "
"Financial Modeling"|"Capital Markets "
"Due Diligence"|"Capital Markets "
"Financial Risk"|"Capital Markets "
"Capital Markets"|"Capital Markets "
"Valuation"|"Capital Markets "
"Financial Markets"|"Capital Markets "
"Equities"|"Capital Markets "
"Trading"|"Capital Markets "
"Cardiology"|"Cardiology "
"Vascular"|"Cardiology "
"Interventional Cardiology"|"Cardiology "
"Cardiovascular Disease"|"Cardiology "
"Echocardiography"|"Cardiology "
"Catheters"|"Cardiology "
"Vascular Surgery"|"Cardiology "
"Hypertension"|"Cardiology "
"Cardiac Surgery"|"Cardiology "
"Heart Failure"|"Cardiology "
"Carpentry"|"Carpentry "
"Woodworking"|"Carpentry "
"Cabinetry"|"Carpentry "
"Wood"|"Carpentry "
"Roofers"|"Carpentry "
"Finish Carpentry"|"Carpentry "
"Millwork"|"Carpentry "
"Joinery"|"Carpentry "
"Kitchen Cabinets"|"Carpentry "
"Tiling"|"Carpentry "
"Chemical Engineering"|"Chemical Processing"
"Coatings"|"Chemical Processing"
"Aspen HYSYS"|"Chemical Processing"
"Process Design"|"Chemical Processing"
"Laboratory Equipment"|"Chemical Processing"
"Laboratory Safety"|"Chemical Processing"
"Laboratory Techniques"|"Chemical Processing"
"Fragrance"|"Chemical Processing"
"Paper Industry"|"Chemical Processing"
"Chemical Industry Working With Children"|"Chemical Processing"
"Childcare"|"Chemical Processing"
"Child Development"|"Chemical Processing"
"Early Childhood Development"|"Chemical Processing"
"Early Intervention"|"Chemical Processing"
"Safeguarding Children"|"Chemical Processing"
"Babysitting"|"Chemical Processing"
"Early Childhood Literacy"|"Chemical Processing"
"Safeguarding"|"Chemical Processing"
"Preschool"|"Chemical Processing"
"Working With Children"|"Childcare"
"Childcare"|"Childcare"
"Child Development"|"Childcare"
"Early Childhood Development"|"Childcare"
"Early Intervention"|"Childcare"
"Safeguarding Children"|"Childcare"
"Babysitting"|"Childcare"
"Early Childhood Literacy"|"Childcare"
"Safeguarding"|"Childcare"
"Preschool"|"Childcare"
"Financial Services"|"Commercial Banking"
"Credit"|"Commercial Banking"
"Retail Banking"|"Commercial Banking"
"Business Relationship Management"|"Commercial Banking"
"Loans"|"Commercial Banking"
"Credit Analysis"|"Commercial Banking"
"Credit Risk"|"Commercial Banking"
"Commercial Banking"|"Commercial Banking"
"Mortgage Lending"|"Commercial Banking"
"Credit Cards"|"Commercial Banking"
"Digital Photography"|"Commercial Photography"
"Event Photography"|"Commercial Photography"
"Commercial Photography"|"Commercial Photography"
"Wedding Photography"|"Commercial Photography"
