"term"|"label"
"Raspberry Pi"|"Electronics"
"Consumer Electronics"|"Electronics"
"Desktop Computers"|"Electronics"
"First Aid"|"Emergency Medicine"
"Emergency Medicine"|"Emergency Medicine"
"Emergency Services"|"Emergency Medicine"
"First Aid Training"|"Emergency Medicine"
"Adult CPR"|"Emergency Medicine"
"EMT"|"Emergency Medicine"
"Paramedic"|"Emergency Medicine"
"Emergency Planning"|"Emergency Medicine"
"TNCC"|"Emergency Medicine"
"Ambulance"|"Emergency Medicine"
"Training"|"Employee Learning & Development"
"Leadership Development"|"Employee Learning & Development"
"Employee Training"|"Employee Learning & Development"
"Staff Development"|"Employee Learning & Development"
"Training & Development"|"Employee Learning & Development"
"Instructional Design"|"Employee Learning & Development"
"Training Delivery"|"Employee Learning & Development"
"People Development"|"Employee Learning & Development"
"Executive Coaching"|"Employee Learning & Development"
"Performance Improvement"|"Employee Learning & Development"
"SAP Products"|"Enterprise Software"
"SAP ERP"|"Enterprise Software"
"Software as a Service (SaaS)"|"Enterprise Software"
"Enterprise Software"|"Enterprise Software"
"Microsoft Azure"|"Enterprise Software"
"Enterprise Architecture"|"Enterprise Software"
"SAP Implementation"|"Enterprise Software"
"Microsoft Dynamics CRM"|"Enterprise Software"
"Microsoft Dynamics NAV"|"Enterprise Software"
"Magento"|"Enterprise Software"
"Entrepreneurship"|"Entrepreneurship"
"Start-ups"|"Entrepreneurship"
"Social Entrepreneurship"|"Entrepreneurship"
"Lean Startup"|"Entrepreneurship"
"Resiliency"|"Entrepreneurship"
"Growth Hacking"|"Entrepreneurship"
"Successful Business Owner"|"Entrepreneurship"
"Start-up Ventures"|"Entrepreneurship"
"Early-stage Startups"|"Entrepreneurship"
"Getting Things Done (GTD) Method"|"Entrepreneurship"
"Sustainability"|"Environmental Consulting"
"Environmental Awareness"|"Environmental Consulting"
"Environmental Management Systems"|"Environmental Consulting"
"Environmental Compliance"|"Environmental Consulting"
"Environmental Consulting"|"Environmental Consulting"
"Hazardous Materials"|"Environmental Consulting"
"Hazardous Waste Management"|"Environmental Consulting"
"OHSAS 18001"|"Environmental Consulting"
"Incident Investigation"|"Environmental Consulting"
"Remediation"|"Environmental Consulting"
"Water Treatment"|"Environmental Engineering"
"Waste Management"|"Environmental Engineering"
"Environmental Engineering"|"Environmental Engineering"
"Stormwater Management"|"Environmental Engineering"
"Waste"|"Environmental Engineering"
"Traffic Management"|"Environmental Engineering"
"Municipalities"|"Environmental Engineering"
"Erosion Control"|"Environmental Engineering"
"Waste Water Treatment Plants"|"Environmental Engineering"
"Filtration"|"Environmental Engineering"
"Life Sciences"|"Environmental Science"
"Renewable Energy"|"Environmental Science"
"Sustainable Development"|"Environmental Science"
"Environmental Science"|"Environmental Science"
"ISO 14001"|"Environmental Science"
"Environmental Impact Assessment"|"Environmental Science"
"Field Work"|"Environmental Science"
"Ecology"|"Environmental Science"
"Environmental Policy"|"Environmental Science"
"Climate Change"|"Environmental Science"
"Event Planning"|"Event Planning"
"Event Management"|"Event Planning"
"Corporate Events"|"Event Planning"
"Live Events"|"Event Planning"
"Event Production"|"Event Planning"
"Meeting Planning"|"Event Planning"
"Special Events"|"Event Planning"
"Festivals"|"Event Planning"
"Weddings"|"Event Planning"
"Marketing Event Planning "|"Event Planning"
"Microbiology"|"Evolutionary Biology "
"Wildlife Biology"|"Evolutionary Biology "
"Bacteriology"|"Evolutionary Biology "
"Evolutionary Biology"|"Evolutionary Biology "
"Gram Staining"|"Evolutionary Biology "
"Systems Biology"|"Evolutionary Biology "
"Molecular Microbiology"|"Evolutionary Biology "
"Developmental Biology"|"Evolutionary Biology "
"Evolution"|"Evolutionary Biology "
"Synthetic Biology"|"Evolutionary Biology "
"Family Law"|"Family Law "
"Wills"|"Family Law "
"Preparation of Wills"|"Family Law "
"Guardianship"|"Family Law "
"Divorce Law"|"Family Law "
"Probate Law"|"Family Law "
"Family Mediation"|"Family Law "
"Juvenile Law"|"Family Law "
"Disability Rights"|"Family Law "
"Elder Law"|"Family Law "
"Cardiopulmonary Resuscitation (CPR)"|"Family Medicine"
"Medical Education"|"Family Medicine"
"Home Care"|"Family Medicine"
"Internal Medicine"|"Family Medicine"
"Medical-Surgical"|"Family Medicine"
"Immunology"|"Family Medicine"
"Diabetes"|"Family Medicine"
"Pain Management"|"Family Medicine"
"Neuroscience"|"Family Medicine"
"Aesthetics "|"Family Medicine"
"Blockchain"|"FinTech"
"FinTech"|"FinTech"
"Cryptocurrency"|"FinTech"
"Bitcoin"|"FinTech"
"Financial Technology"|"FinTech"
"Ethereum"|"FinTech"
"Solidity"|"FinTech"
"Cryptocurrency Trading"|"FinTech"
"Hyperledger"|"FinTech"
"Bitcoin Mining"|"FinTech"
"Financial Analysis"|"Financial Accounting"
"Financial Reporting"|"Financial Accounting"
"Financial Accounting"|"Financial Accounting"
"Corporate Finance"|"Financial Accounting"
"Financial Statements"|"Financial Accounting"
"U.S. Generally Accepted Accounting Principles (GAAP)"|"Financial Accounting"
"Balance Sheet"|"Financial Accounting"
"Taxations"|"Financial Accounting"
"Target Costing"|"Financial Accounting"
"Consolidated Financial Statements"|"Financial Accounting"
"Fishing"|"Fishing"
"Hunting"|"Fishing"
"Fly Fishing"|"Fishing"
"Commercial Fishing"|"Fishing"
"Easily Adaptable"|" Flexible Approach"
"Adaptation"|" Flexible Approach"
"Flexible Schedule"|" Flexible Approach"
"Can Do Approach"|" Flexible Approach"
"Independence"|" Flexible Approach"
"Agility"|" Flexible Approach"
"Pressure Handling"|" Flexible Approach"
"Flexible Approach"|" Flexible Approach"
"Positive Work Environment"|" Flexible Approach"
"Performance Motivation"|" Flexible Approach"
"Computational Fluid Dynamics (CFD)"|"Fluid Mechanics"
"Fluid Mechanics"|"Fluid Mechanics"
"Fluid Dynamics"|"Fluid Mechanics"
"Steam Boilers"|"Fluid Mechanics"
"Star- CCM+"|"Fluid Mechanics"
"OpenFOAM"|"Fluid Mechanics"
"Molecular Dynamics"|"Fluid Mechanics"
"Fluids"|"Fluid Mechanics"
"Combustion"|"Fluid Mechanics"
"CFX"|"Fluid Mechanics"
"Food Safety"|"Food Manufacturing"
"Food Industry"|"Food Manufacturing"
"Food Processing"|"Food Manufacturing"
"Food Science"|"Food Manufacturing"
"Food Technology"|"Food Manufacturing"
"Food Manufacturing"|"Food Manufacturing"
"Food Microbiology"|"Food Manufacturing"
"Food Packaging"|"Food Manufacturing"
"Food Safety Management System"|"Food Manufacturing"
"Frozen Food"|"Food Manufacturing"
"Restaurant Management"|"Food Service Operations"
"Catering"|"Food Service Operations"
"Hazard Analysis and Critical Control Points (HACCP)"|"Food Service Operations"
"Menu Development"|"Food Service Operations"
"Pre-opening"|"Food Service Operations"
"Banquet Operations"|"Food Service Operations"
"MICROS"|"Food Service Operations"
"Fine Dining"|"Food Service Operations"
"Wine"|"Food Service Operations"
"Food Quality"|"Food Service Operations"
"English"|"Foreign Languages "
"Spanish"|"Foreign Languages "
"French"|"Foreign Languages "
"Dutch"|"Foreign Languages "
"German"|"Foreign Languages "
"Portuguese"|"Foreign Languages "
"Foreign Languages"|"Foreign Languages "
"English as a Second Language (ESL)"|"Foreign Languages "
"Italian"|"Foreign Languages "
"Business English"|"Foreign Languages "
"Forestry"|"Forestry "
"Trees"|"Forestry "
"Forest Management"|"Forestry "
"Timber"|"Forestry "
"Sustainable Forest Management"|"Forestry "
"Tree Climbing"|"Forestry "
"Chainsaw"|"Forestry "
"Renewable Resources"|"Forestry "
"Certified Arborist"|"Forestry "
"Forest Products"|"Forestry "
"Unity"|"Game Development "
"Video Games"|"Game Development "
"Game Development"|"Game Development "
"Game Design"|"Game Development "
"Online Gaming"|"Game Development "
"Gaming"|"Game Development "
"Mobile Games"|"Game Development "
"Unreal Engine 4"|"Game Development "
"Gaming Industry"|"Game Development "
"Perforce"|"Game Development "
"Gastroenterology"|"Gastroenterology"
"Osteoporosis"|"Gastroenterology"
"Digestive Disorders"|"Gastroenterology"
"Hepatology"|"Gastroenterology"
"Gastrointestinal Disorders"|"Gastroenterology"
"Gastrointestinal Surgery"|"Gastroenterology"
"Surgery"|"General Surgery"
"Operating Room"|"General Surgery"
"General Surgery"|"General Surgery"
"Aseptic Technique"|"General Surgery"
"Working with Surgeons"|"General Surgery"
"Surgical Instruments"|"General Surgery"
"Sterilization"|"General Surgery"
"Disposables"|"General Surgery"
"Endoscopy"|"General Surgery"
"Laparoscopic Surgery"|"General Surgery"
"Molecular Biology"|"Genetic Engineering"
"Polymerase Chain Reaction (PCR)"|"Genetic Engineering"
"Genetics"|"Genetic Engineering"
"Real-Time Polymerase Chain Reaction (qPCR)"|"Genetic Engineering"
"Molecular Cloning"|"Genetic Engineering"
"Gel Electrophoresis"|"Genetic Engineering"
"DNA Extraction"|"Genetic Engineering"
"Genomics"|"Genetic Engineering"
"Protein Expression"|"Genetic Engineering"
"DNA"|"Genetic Engineering"
"Highways"|"Geotechnical Engineering"
"Geotechnical Engineering"|"Geotechnical Engineering"
"Transportation Engineering"|"Geotechnical Engineering"
"Excavation"|"Geotechnical Engineering"
"Traffic Engineering"|"Geotechnical Engineering"
"Road Construction"|"Geotechnical Engineering"
"Tunnels"|"Geotechnical Engineering"
"Seismic Design"|"Geotechnical Engineering"
"Engineering Geology"|"Geotechnical Engineering"
"Highway Design"|"Geotechnical Engineering"
"Adobe Photoshop"|"Graphic Design"
"Adobe Illustrator"|"Graphic Design"
"Graphic Design"|"Graphic Design"
"Adobe InDesign"|"Graphic Design"
"Adobe Creative Suite"|"Graphic Design"
"Web Design"|"Graphic Design"
"Art Direction"|"Graphic Design"
"Logo Design"|"Graphic Design"
"Illustration"|"Graphic Design"
"Design"|"Graphic Design"
"Shipping"|"Ground Transportation"
"Forklift Operation"|"Ground Transportation"
"Road"|"Ground Transportation"
"Fleet Management"|"Ground Transportation"
"Rail Transport"|"Ground Transportation"
"Trucking"|"Ground Transportation"
"Shipping & Receiving"|"Ground Transportation"
"Dispatching"|"Ground Transportation"
"Truck Driving"|"Ground Transportation"
"LTL Shipping"|"Ground Transportation"
"Mergers & Acquisitions (M&A)"|"Growth Strategies"
"Strategic Partnerships"|"Growth Strategies"
"Customer Acquisition"|"Growth Strategies"
"Restructuring"|"Growth Strategies"
"International Business Development"|"Growth Strategies"
"Corporate Development"|"Growth Strategies"
"Acquisitions"|"Growth Strategies"
"Financial Structuring"|"Growth Strategies"
"Growth Strategies"|"Growth Strategies"
"New Business Opportunities"|"Growth Strategies"
"Hospitals"|"Healthcare Management"
"Healthcare Management"|"Healthcare Management"
"Electronic Medical Record (EMR)"|"Healthcare Management"
"Healthcare Information Technology (HIT)"|"Healthcare Management"
"U.S. Health Insurance Portability and Accountability Act (HIPAA)"|"Healthcare Management"
"Medical Terminology"|"Healthcare Management"
"Managed Care"|"Healthcare Management"
"Medicare"|"Healthcare Management"
"Epic Systems"|"Healthcare Management"
"Medical Records"|"Healthcare Management"
"Higher Education"|"Higher Education"
"Curriculum Development"|"Higher Education"
"Educational Technology"|"Higher Education"
"Teacher Training"|"Higher Education"
"University Teaching"|"Higher Education"
"Adult Education"|"Higher Education"
"Intercultural Communication"|"Higher Education"
"Academic Writing"|"Higher Education"
"Online Research"|"Higher Education"
"Student Engagement"|"Higher Education"
"History"|"History"
"American History"|"History"
"World History"|"History"
"Military History"|"History"
"Genealogy"|"History"
"European History"|"History"
"Handel"|"History"
"Ancient History"|"History"
"Oral History"|"History"
"Social Change"|"History"
"Hotel Management"|"Hospitality Industry"
"Front Office"|"Hospitality Industry"
"Rooms Division"|"Hospitality Industry"
"Property Management Systems"|"Hospitality Industry"
"Guest Service Management"|"Hospitality Industry"
"Housekeeping"|"Hospitality Industry"
"Reservations"|"Hospitality Industry"
"Opening Hotels"|"Hospitality Industry"
"HORECA"|"Hospitality Industry"
"Concierge Services"|"Hospitality Industry"
"Bootstrap"|"Human Computer Interaction"
"User Experience (UX)"|"Human Computer Interaction"
"User Interface Design"|"Human Computer Interaction"
"User Experience Design (UED)"|"Human Computer Interaction"
"TypeScript"|"Human Computer Interaction"
"Interaction Design"|"Human Computer Interaction"
"Wireframing"|"Human Computer Interaction"
"Usability Testing"|"Human Computer Interaction"
"User-centered Design"|"Human Computer Interaction"
"Sketch App"|"Human Computer Interaction"
"Human Resources (HR)"|"Human Resources (HR)"
"Performance Management"|"Human Resources (HR)"
"Organizational Development"|"Human Resources (HR)"
"Employee Relations"|"Human Resources (HR)"
"Talent Management"|"Human Resources (HR)"
"Employee Engagement"|"Human Resources (HR)"
"Personnel Management"|"Human Resources (HR)"
"Onboarding"|"Human Resources (HR)"
"HR Consulting"|"Human Resources (HR)"
"HR Policies"|"Human Resources (HR)"
"Design Thinking"|"Industrial Design"
"Sketching"|"Industrial Design"
"Concept Development"|"Industrial Design"
"Rapid Prototyping"|"Industrial Design"
"Industrial Design"|"Industrial Design"
"Design Engineering"|"Industrial Design"
"Axure RP"|"Industrial Design"
"Ergonomics"|"Industrial Design"
"Design Strategy"|"Industrial Design"
"Keyshot"|"Industrial Design"
"SharePoint"|"Information Management"
"Content Management"|"Information Management"
"Content Management Systems (CMS)"|"Information Management"
"Document Management"|"Information Management"
"Information Management"|"Information Management"
"Knowledge Management"|"Information Management"
"Records Management"|"Information Management"
"Digitization"|"Information Management"
"Laboratory Information Management System (LIMS)"|"Information Management"
"Archives"|"Information Management"
"Inorganic Chemistry"|"Inorganic Chemistry"
"Titration"|"Inorganic Chemistry"
"Precious Metals"|"Inorganic Chemistry"
"Heterogeneous Catalysis"|"Inorganic Chemistry"
"Inorganic Synthesis"|"Inorganic Chemistry"
"Formulation Chemistry"|"Inorganic Chemistry"
"Instrumental Analysis"|"Inorganic Chemistry"
"NIR Spectroscopy"|"Inorganic Chemistry"
"Cyclic Voltammetry"|"Inorganic Chemistry"
"Quantum Chemistry"|"Inorganic Chemistry"
"Account Management"|"Inside Sales"
"Direct Sales"|"Inside Sales"
"Sales Process"|"Inside Sales"
"Solution Selling"|"Inside Sales"
"International Sales"|"Inside Sales"
"Cold Calling"|"Inside Sales"
"Sales Effectiveness"|"Inside Sales"
"Consultative Selling"|"Inside Sales"
"Sales Prospecting"|"Inside Sales"
"Sales Strategy "|"Inside Sales"
"Instrumentation"|"Instrumentation"
"Calibration"|"Instrumentation"
"Data Acquisition"|"Instrumentation"
"Industrial Control"|"Instrumentation"
"Measurements"|"Instrumentation"
"Pre- commissioning"|"Instrumentation"
"PVSyst"|"Instrumentation"
"Lightning"|"Instrumentation"
"Field Instruments"|"Instrumentation"
"Electronic Instrumentation"|"Instrumentation"
"Insurance"|"Insurance"
"General Insurance"|"Insurance"
"Underwriting"|"Insurance"
"Health Insurance"|"Insurance"
"Property & Casualty Insurance"|"Insurance"
"Life Insurance"|"Insurance"
"Commercial Insurance"|"Insurance"
"Claims Management"|"Insurance"
"Liability"|"Insurance"
"Professional Liability "|"Insurance"
"Intellectual Property"|"Intellectual Property"
"Licensing"|"Intellectual Property"
"Patent Law"|"Intellectual Property"
"Trademarks"|"Intellectual Property"
"Patent Litigation"|"Intellectual Property"
"Patent Prosecution"|"Intellectual Property"
"Trade Secrets"|"Intellectual Property"
"Patent Preparation"|"Intellectual Property"
"Trademark Infringement"|"Intellectual Property"
"Patentability "|"Intellectual Property"
"Interior Design"|"Interior Design"
"Space Planning"|"Interior Design"
"Interior Architecture"|"Interior Design"
"Furniture"|"Interior Design"
"Building Materials"|"Interior Design"
"Lighting Design"|"Interior Design"
"Refurbishments"|"Interior Design"
"Furnishings"|"Interior Design"
"Decoration"|"Interior Design"
"Flooring"|"Interior Design"
"International Business"|"International Law"
"International Trade"|"International Law"
"International Law"|"International Law"
"Export"|"International Law"
"Human Rights"|"International Law"
"European Union"|"International Law"
"Immigration Law"|"International Law"
"Cross-border Transactions"|"International Law"
"International Arbitration"|"International Law"
"International Negotiations"|"International Law"
"Inventory Management"|"Inventory Management"
"Enterprise Resource Planning (ERP)"|"Inventory Management"
"Inventory Control"|"Inventory Management"
"Warehouse Operations"|"Inventory Management"
"Warehouse Management Systems"|"Inventory Management"
"Materials Management"|"Inventory Management"
"Supply Chain Optimization"|"Inventory Management"
"Stock Management"|"Inventory Management"
"Order Management"|"Inventory Management"
"ERP Software"|"Inventory Management"
"Investments"|"Investment Banking"
"Financial Planning"|"Investment Banking"
"Asset Management"|"Investment Banking"
"Investment Banking"|"Investment Banking"
"Wealth Management"|"Investment Banking"
"Mutual Funds"|"Investment Banking"
"Retirement Planning"|"Investment Banking"
"Financial Advisory"|"Investment Banking"
"Back Office Operations"|"Investment Banking"
"Hedge Funds"|"Investment Banking"
"Investor Relations"|"Investor Relations"
"U.S. SEC Filings"|"Investor Relations"
"Capital Raising"|"Investor Relations"
"Company Valuation"|"Investor Relations"
"SEC Financial Reporting"|"Investor Relations"
"Board of Directors Reporting"|"Investor Relations"
"U.S. Securities and Exchange Commission (SEC)"|"Investor Relations"
"XBRL"|"Investor Relations"
"Investor Reporting"|"Investor Relations"
"Investor Presentations"|"Investor Relations"
"Journalism"|"Journalism"
"News Writing"|"Journalism"
"Magazines"|"Journalism"
"Reporting"|"Journalism"
"Online Journalism"|"Journalism"
"Newspapers"|"Journalism"
"Feature Writing"|"Journalism"
"Broadcast Journalism"|"Journalism"
"Digital Publishing"|"Journalism"
"AP Stylebook"|"Journalism"
"Lesson Planning"|"K-12 Education"
"Classroom Management"|"K-12 Education"
"Special Education"|"K-12 Education"
"Elementary Education"|"K-12 Education"
"Differentiated Instruction"|"K-12 Education"
"Literacy"|"K-12 Education"
"K-12 Education"|"K-12 Education"
"Early Childhood Education"|"K-12 Education"
"Pedagogy"|"K-12 Education"
"Secondary Education"|"K-12 Education"
"Exercise Physiology"|"Kinesiology"
"Kinesiology"|"Kinesiology"
"Biomechanics"|"Kinesiology"
"Bodybuilding"|"Kinesiology"
"Low Back Pain"|"Kinesiology"
"Group Exercise"|"Kinesiology"
"Electromyography (EMG)"|"Kinesiology"
"Weight Gain"|"Kinesiology"
"Labor and Employment Law"|"Labor and Employment Law"
"Employment Contracts"|"Labor and Employment Law"
"Equal Employment Opportunity (EEO)"|"Labor and Employment Law"
"Employment Law Compliance"|"Labor and Employment Law"
"Social Security Law"|"Labor and Employment Law"
"I-9 Compliance"|"Labor and Employment Law"
"ADA Compliance"|"Labor and Employment Law"
"Employee Grievance"|"Labor and Employment Law"
"Labour Issues"|"Labor and Employment Law"
"Employment Litigation"|"Labor and Employment Law"
"Land Surveying"|"Land Surveying"
"Laser Scanning"|"Land Surveying"
"Subdivisions"|"Land Surveying"
"Trimble"|"Land Surveying"
"Leica"|"Land Surveying"
"Legal Descriptions"|"Land Surveying"
"Cadastral Surveying"|"Land Surveying"
"Topcon"|"Land Surveying"
"Leveling"|"Land Surveying"
"RTK"|"Land Surveying"
"Landscaping"|"Landscape Architecture"
"Landscape Design"|"Landscape Architecture"
"Horticulture"|"Landscape Architecture"
"Gardening"|"Landscape Architecture"
"Landscape Architecture"|"Landscape Architecture"
"Landscape Maintenance"|"Landscape Architecture"
"Garden Design"|"Landscape Architecture"
"Plant Identification"|"Landscape Architecture"
"Lawn Care"|"Landscape Architecture"
"Tree Planting"|"Landscape Architecture"
"Legal Research"|"Law"
"Legal Writing"|"Law"
"Litigation"|"Law"
"Corporate Governance"|"Law"
"Corporate Law"|"Law"
"Legal Advice"|"Law"
"Legal Assistance"|"Law"
"Commercial Litigation"|"Law"
"Mediation"|"Law"
"Regulatory Compliance"|"Law"
"Leadership"|"Leadership"
"Team Leadership"|"Leadership"
"Team Building"|"Leadership"
"Team Management"|"Leadership"
"Cross-functional Team Leadership"|"Leadership"
"Organizational Leadership"|"Leadership"
"Strategic Thinking"|"Leadership"
"Strategic Leadership"|"Leadership"
"Self- confidence"|"Leadership"
"Technical Leadership"|"Leadership"
"Legislation"|"Legislation"
"Legislative Relations"|"Legislation"
"Policy Development"|"Legislation"
"Regulations"|"Legislation"
"Lobbying"|"Legislation"
"State Government"|"Legislation"
"Legislative Research"|"Legislation"
"Data Protection Act"|"Legislation"
"Legislative Affairs"|"Legislation"
"Government Administration"|"Legislation"
"Library Services"|"Library Science"
"Cataloging"|"Library Science"
"Library Science"|"Library Science"
"Information Literacy"|"Library Science"
"Collection Development"|"Library Science"
"Library Management"|"Library Science"
"Library Research"|"Library Science"
"Library Instruction"|"Library Science"
"Metadata"|"Library Science"
"Archival Research "|"Library Science"
"Linguistics"|"Linguistics"
"Grammar"|"Linguistics"
"Terminology"|"Linguistics"
"Applied Linguistics"|"Linguistics"
"Financial Translation"|"Linguistics"
"Phonetics"|"Linguistics"
"Pragmatics"|"Linguistics"
"Discourse Analysis"|"Linguistics"
"Voice & Accent"|"Linguistics"
"Second Language Acquisition"|"Linguistics"
"Literature"|"Literature"
"Poetry"|"Literature"
"English Literature"|"Literature"
"Book Reviews"|"Literature"
"Short Stories"|"Literature"
"Novels"|"Literature"
"Essays"|"Literature"
"Literary Criticism"|"Literature"
"Narrative"|"Literature"
"Manuscript Development"|"Literature"
"SOLIDWORKS"|"Machining"
"Autodesk Inventor"|"Machining"
"Welding"|"Machining"
"Metal Fabrication"|"Machining"
"Machining"|"Machining"
"CAD/CAM"|"Machining"
"Geometric Dimensioning & Tolerancing"|"Machining"
"CNC Programming"|"Machining"
"Computer Numerical Control (CNC)"|"Machining"
"Machine Tools"|"Machining"
"Maintenance & Repair"|"Maintenance & Repair"
"Preventive Maintenance"|"Maintenance & Repair"
"Maintenance Management"|"Maintenance & Repair"
"Maintenance"|"Maintenance & Repair"
"Mechanics"|"Maintenance & Repair"
"Electrical Troubleshooting"|"Maintenance & Repair"
"Hydraulics"|"Maintenance & Repair"
"Heavy Equipment"|"Maintenance & Repair"
"Blueprint Reading"|"Maintenance & Repair"
"Plant Maintenance"|"Maintenance & Repair"
"Budgeting"|"Management Accounting"
"Account Reconciliation"|"Management Accounting"
"Managerial Finance"|"Management Accounting"
"P&L Management"|"Management Accounting"
"Cash Flow"|"Management Accounting"
"Cash Management"|"Management Accounting"
"Management Accounting"|"Management Accounting"
"Cost Accounting"|"Management Accounting"
"Variance Analysis"|"Management Accounting"
"Pivot Tables"|"Management Accounting"
"Business Analysis"|"Management Consulting"
"Business Intelligence (BI)"|"Management Consulting"
"Management Consulting"|"Management Consulting"
"Market Analysis"|"Management Consulting"
"Strategic Consulting"|"Management Consulting"
"Business Process Mapping"|"Management Consulting"
"IT Consulting"|"Management Consulting"
"Business Modeling"|"Management Consulting"
"Gap Analysis"|"Management Consulting"
"Start-up Consulting"|"Management Consulting"
"Operations Management"|"Manufacturing Operations"
"Continuous Improvement"|"Manufacturing Operations"
"Lean Manufacturing"|"Manufacturing Operations"
"5S"|"Manufacturing Operations"
"Six Sigma"|"Manufacturing Operations"
"Inspection"|"Manufacturing Operations"
"Quality Management"|"Manufacturing Operations"
"Quality Control"|"Manufacturing Operations"
"Process Engineering"|"Manufacturing Operations"
"Kaizen"|"Manufacturing Operations"
"Maritime Operations"|"Maritime Operations"
"Navigation"|"Maritime Operations"
"Ports"|"Maritime Operations"
"Container Shipping"|"Maritime Operations"
"Ocean Transportation"|"Maritime Operations"
"ISM Code"|"Maritime Operations"
"Sailing"|"Maritime Operations"
"Forwarding"|"Maritime Operations"
"Dynamic Positioning"|"Maritime Operations"
"Boat"|"Maritime Operations"
"Materials"|"Materials Science"
"Materials Science"|"Materials Science"
"Characterization"|"Materials Science"
"Design of Experiments (DOE)"|"Materials Science"
"Spectroscopy"|"Materials Science"
"Polymers"|"Materials Science"
"Metallurgy"|"Materials Science"
"Metrology"|"Materials Science"
"Scanning Electron Microscopy (SEM)"|"Materials Science"
"Raw Materials "|"Materials Science"
"Mathematics"|"Mathematics"
"Mathematical Modeling"|"Mathematics"
"Mathematica"|"Mathematics"
"Numerical Analysis"|"Mathematics"
"Fortran"|"Mathematics"
"Applied Mathematics"|"Mathematics"
"Operations Research"|"Mathematics"
"Calculus"|"Mathematics"
"Numerical Simulation"|"Mathematics"
"Monte Carlo Simulation "|"Mathematics"
"Medicine"|"Medicine"
"Histology"|"Medicine"
"Virology"|"Medicine"
"Pulmonology"|"Medicine"
"Urinalysis"|"Medicine"
"Nephrology"|"Medicine"
"Autoclave"|"Medicine"
"Vaccinations"|"Medicine"
"Prosthetics"|"Medicine"
"Key Opinion Leaders"|"Medicine"
"Mining"|"Mining"
"Minerals"|"Mining"
"Gold"|"Mining"
"Mineral Processing"|"Mining"
"Coal"|"Mining"
"Iron Ore"|"Mining"
"Base Metals"|"Mining"
"Mining Engineering"|"Mining"
"Underground Mining"|"Mining"
"QAQC"|"Mining"
"Android Development"|"Mobile Application Development"
"Android"|"Mobile Application Development"
"Mobile Applications"|"Mobile Application Development"
"Android Studio"|"Mobile Application Development"
"Mobile Application Development"|"Mobile Application Development"
"Android SDK"|"Mobile Application Development"
"Firebase"|"Mobile Application Development"
"Kotlin"|"Mobile Application Development"
"iPhone"|"Mobile Application Development"
"Mobile Device Management"|"Mobile Application Development"
"Music"|"Music"
"Music Production"|"Music"
"Singing"|"Music"
"Music Industry"|"Music"
"Audio Recording"|"Music"
"Music Composition"|"Music"
"Sound"|"Music"
"Music Education"|"Music"
"Audio Editing"|"Music"
"Audio Engineering"|"Music"
"Nanotechnology"|"Nanotechnology"
"Molecular Modeling"|"Nanotechnology"
"Biosensors"|"Nanotechnology"
"Carbon Nanotubes"|"Nanotechnology"
"Interferometry"|"Nanotechnology"
"Nanomedicine"|"Nanotechnology"
"Nanostructures"|"Nanotechnology"
"Mechanical Properties"|"Nanotechnology"
"Nanoelectronics"|"Nanotechnology"
"National Security"|"National Security"
"Homeland Security"|"National Security"
"Government Relations"|"National Security"
"Counterinsurgency"|"National Security"
"Interagency Coordination"|"National Security"
"Coalitions"|"National Security"
"Government Liaison"|"National Security"
"SCI Clearance"|"National Security"
"Federal Government Relations"|"National Security"
"Communications Security"|"National Security"
"Marine Engineering"|"Naval Architecture"
"Shipbuilding"|"Naval Architecture"
"Yachting"|"Naval Architecture"
"Naval Architecture"|"Naval Architecture"
"Marine Industry"|"Naval Architecture"
"Shipyards"|"Naval Architecture"
"Maxsurf"|"Naval Architecture"
"Marine Propulsion"|"Naval Architecture"
"Boat Building"|"Naval Architecture"
"Tribon M3"|"Naval Architecture"
"Command"|"Navy"
"Maritime"|"Navy"
"Navy"|"Navy"
"Marine Operations"|"Navy"
"Maritime Security"|"Navy"
"Ship Management"|"Navy"
"Vessels"|"Navy"
"Seamanship"|"Navy"
"Vessel Operations"|"Navy"
"Diving"|"Navy"
"Negotiation"|"Negotiation"
"Contract Negotiation"|"Negotiation"
"Conflict Resolution"|"Negotiation"
"Cooperation"|"Negotiation"
"Strategic Negotiations"|"Negotiation"
"Priority Management"|"Negotiation"
"Verbal De-escalation"|"Negotiation"
"Conflict"|"Negotiation"
"Union Relations"|"Negotiation"
"Conflict Analysis "|"Negotiation"
"Neurology"|"Neurology"
"Neurosurgery"|"Neurology"
"Stroke Rehabilitation"|"Neurology"
"Neurological Disorders"|"Neurology"
"Spinal Cord Injury"|"Neurology"
"Brain Injury"|"Neurology"
"Central Nervous System"|"Neurology"
"CNS disorders"|"Neurology"
"Movement Disorders"|"Neurology"
"Neurologists "|"Neurology"
"Nonprofit Organizations"|"Nonprofit Management"
"Community Outreach"|"Nonprofit Management"
"Fundraising"|"Nonprofit Management"
"Program Development"|"Nonprofit Management"
"Grant Writing"|"Nonprofit Management"
"Community Development"|"Nonprofit Management"
"Accountability"|"Nonprofit Management"
"Community Engagement"|"Nonprofit Management"
"Group Work"|"Nonprofit Management"
"Non-profit Volunteering"|"Nonprofit Management"
"Nuclear"|"Nuclear Engineering"
"Nuclear Engineering"|"Nuclear Engineering"
"Radiography"|"Nuclear Engineering"
